nombre,estacion
A,Observatorio
B,Tacubaya
C,Juanacatlán
D,Chapultepec
E,Sevilla
F,Insurgentes
G,Cuauhtémoc
H,Balderas
I,Salto de Agua
J,Isabel la Católica
K,Pino Suárez
L,Merced
M,Candelaria
N,San Lázaro
O,Moctezuma
P,Balbuena
Q,Boulevard Puerto Aéreo
R,Gómez Farías
S,Zaragoza
T,Pantitlán
AA,Indios Verdes
AB,Deportivo 18 de Marzo
AC,Potrero
AD,La Raza
AE,Tlatelolco
AF,Guerrero
AG,Hidalgo
AH,Juarez
AJ,Niños Héroes
AK,Hospital General
AL,Centro Médico
AM,Etiopia
AN,Eugenia
AO,Division del Norte
AP,Zapata
AQ,Coyoacan
AR,Viveros
AS,Miguel Angel de Quevedo
AT,Copilco
AU,Universidad
AV,Martín Carrera
AW,Talisman
AX,Bondojito
AY,Consulado
AZ,Canal del Norte
BA,Morelos
BC,Fray Servando
BD,Jamaica
BE,Santa Anita
BG,Hangares
BH,Terminal Aérea
BI,Oceania
BJ,Aragón
BK,Eduardo Molina
BL,Valle Gómez
BM,Misterios
BO,Autobuses del Norte
BP,Instituto del Petróleo
BQ,Politécnico
BS,La Villa-Basilísca
BU,Lindavista
BV,Vallejo
BX,Norte 45
BY,Azcapotzalco
BZ,Tezozómoc
CA,El Rosario
CB,Aquiles Serdán
CC,Camarones
CD,Refineria
CF,San Joaquín
CG,Polanco
CH,Auditorio
CI,Constituyentes
CK,Sn. Pedro de los Pinos
CL,San Antonio
CM,Mixcoac
CN,Barranca del Muerto
CO,Garibaldi
CP,Bellas Artes
CQ,San Juan de Letran
CR,Doctores
CS,Obrera
CT,Chabacano
CU,La Viga
CW,Coyuya
CX,Iztacalco
CY,Apatlaco
CZ,Aculco
DA,Escuadron 201
DB,Atlalilco
DC,Iztapalapa
DD,C. de la Estrella
DE,UAM I
DF,Const. de 1917
DH,Patriotismo
DI,Chilpancingo
DK,Lázaro Cárdenas
DN,Mixiuhca
DO,Velódromo
DP,Ciudad Deportiva
DQ,Puebla
DS,Agrícola Oriental
DT,Canal de San Juan
DU,Tepalcates
DV,Guelatao
DW,Peñón Viejo
DX,Acatitla
DY,Santa Martha
DZ,Los Reyes
EA,La Paz
EB,Ciudad Azteca
EC,Plaza Aragón
ED,Olímpica
EE,Ecatepec
EF,Muzquiz
EG,Río de los Remedios
EH,Impulsora
EI,Nezahualcóyotl
EJ,Villa de Aragón
EK,Bosque de Aragón
EL,Deportivo Oceanía
EN,Romero Rubio
EO,R. Flores Magón
ER,Tepito
ES,Lagunilla
EV,Buenavista
EW,Tláhuac
EX,Tlaltenco
EY,Zapotitlán
EZ,Nopalera
FA,Olivos
FB,Tezonco
FC,Periférico Oriente
FD,Calle 11
FE,Lomas Estrella
FF,San Andrés Tomatlán
FG,Culhuacán
FI,Mexicaltzingo
FJ,Eje Central
FK,Parque de los Venados
FL,Hospital 20 de noviembre
FM,Insurgentes Sur
FN,Cuatro Caminos
FO,Panteones
FP,Tacuba
FQ,Cuitlahuac
FR,Popotla
FS,Colegio Militar
FT,Normal
FU,San Cosme
FV,Revolución
FY,Allende
FZ,Zócalo
GB,San Antonio Abad
GD,Viaducto
GE,Xola
GF,Villa de Cortés
GG,Nativitas
GH,Portales
GI,Ermita
GJ,General Anaya
GK,Tasqueña
