N;Tiempo
100;0.00100
200;0.00100
300;0.00200
400;0.00200
500;0.00400
600;0.00600
700;0.00800
800;0.01100
900;0.01400
1000;0.01700
1100;0.02100
1200;0.02501
1300;0.03001
1400;0.03501
1500;0.03901
1600;0.04401
1700;0.05001
1800;0.05501
1900;0.06101
2000;0.06802
2100;0.07602
2200;0.08402
2300;0.09402
2400;0.10102
2500;0.10902
2600;0.11803
2700;0.12703
2800;0.13303
2900;0.14703
3000;0.15404
3100;0.16504
3200;0.17404
3300;0.18604
3400;0.20205
3500;0.21105
3600;0.22805
3700;0.23505
3800;0.24706
3900;0.26406
4000;0.27306
4100;0.29207
4200;0.30107
4300;0.31607
4400;0.33208
